cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj
2512101,Pombal,0  ,NE,PB,M,2026,33866,08948697000139
2512200,Prata,0  ,NE,PB,M,2026,4032,09074113000106
2512309,Princesa Isabel,0  ,NE,PB,M,2026,21674,08888968000108
2512408,Puxinanã,0  ,NE,PB,M,2026,14942,09001744000103
2512507,Queimadas,0  ,NE,PB,M,2026,50698,08742264000122
2512606,Quixaba,0  ,NE,PB,M,2026,1803,08881567000126
2512705,Remígio,0  ,NE,PB,M,2026,18399,09048976000109
2512721,Pedro Régis,0  ,NE,PB,M,2026,5932,01612967000197
2512747,Riachão,0  ,NE,PB,M,2026,2945,01612770000158
2512754,Riachão do Bacamarte,0  ,NE,PB,M,2026,4911,01612343000170
2512762,Riachão do Poço,0  ,NE,PB,M,2026,4989,01612366000184
2512788,Riacho de Santo Antônio,0  ,NE,PB,M,2026,2063,01612637000100
2512804,Riacho dos Cavalos,0  ,NE,PB,M,2026,8788,08921876000182
2512903,Rio Tinto,0  ,NE,PB,M,2026,25500,08899940000176
2513000,Salgadinho,0  ,NE,PB,M,2026,3435,08881666000108
2513109,Salgado de São Félix,0  ,NE,PB,M,2026,11741,09072463000133
2513158,Santa Cecília,0  ,NE,PB,M,2026,8113,01612643000159
2513208,Santa Cruz,0  ,NE,PB,M,2026,6013,08999690000146
2513307,Santa Helena,0  ,NE,PB,M,2026,6023,08764284000102
2513356,Santa Inês,0  ,NE,PB,M,2026,3256,01612693000136
2513406,Santa Luzia,0  ,NE,PB,M,2026,15418,09090689000167
2513505,Santana de Mangueira,0  ,NE,PB,M,2026,5090,09150087000158
2513604,Santana dos Garrotes,0  ,NE,PB,M,2026,6618,08942211000155
2513653,Joca Claudino,0  ,NE,PB,M,2026,2607,01613283000100
2513703,Santa Rita,0  ,NE,PB,M,2026,160852,09159666000161
2513802,Santa Teresinha,0  ,NE,PB,M,2026,4492,08882524000165
2513851,Santo André,0  ,NE,PB,M,2026,2708,01612511000127
2513901,São Bento,0  ,NE,PB,M,2026,33845,09069709000118
2513927,São Bentinho,0  ,NE,PB,M,2026,4490,01612690000100
2513943,São Domingos do Cariri,0  ,NE,PB,M,2026,2688,01612650000150
2513968,São Domingos,0  ,NE,PB,M,2026,2624,01612691000147
2513984,São Francisco,0  ,NE,PB,M,2026,3176,01613323000113
2514008,São João do Cariri,0  ,NE,PB,M,2026,4345,09074345000164
2514107,São João do Tigre,0  ,NE,PB,M,2026,4359,09074592000160
2514206,São José da Lagoa Tapada,0  ,NE,PB,M,2026,7251,08999682000108
2514305,São José de Caiana,0  ,NE,PB,M,2026,4966,08891541000169
2514404,São José de Espinharas,0  ,NE,PB,M,2026,4056,08882730000175
2514453,São José dos Ramos,0  ,NE,PB,M,2026,6137,01612384000166
2514503,São José de Piranhas,0  ,NE,PB,M,2026,19561,08924052000166
2514552,São José de Princesa,0  ,NE,PB,M,2026,3323,01612684000145
2514602,São José do Bonfim,0  ,NE,PB,M,2026,3337,08882862000105
2514651,São José do Brejo do Cruz,0  ,NE,PB,M,2026,1750,01612692000191
2514701,São José do Sabugi,0  ,NE,PB,M,2026,4283,08883217000107
2514800,São José dos Cordeiros,0  ,NE,PB,M,2026,3462,08873226000109
2514909,São Mamede,0  ,NE,PB,M,2026,7629,08922718000147
2515005,São Miguel de Taipu,0  ,NE,PB,M,2026,7307,08868515000110
2515104,São Sebastião de Lagoa de Roça,0  ,NE,PB,M,2026,11387,08742439000100
2515203,São Sebastião do Umbuzeiro,0  ,NE,PB,M,2026,3382,09074998000143
2515302,Sapé,0  ,NE,PB,M,2026,53457,08917080000156
2515401,São Vicente do Seridó,0  ,NE,PB,M,2026,10652,08916124000123
